group,traffic,boundary,exchange,channel_class,scenario,bytes,run-01_legacy_ns,run-01_preferred_ns,run-01_delta_pct,run-02_legacy_ns,run-02_preferred_ns,run-02_delta_pct,run-03_legacy_ns,run-03_preferred_ns,run-03_delta_pct,legacy_median_ns,preferred_median_ns,absolute_delta_ns,delta_pct,speedup
decode_only_hot,hot,decode-only,gate,public data,gate_incremental,178,684.697426,305.300097,-55.410947,693.28302,316.390143,-54.363495,678.163828,311.989457,-53.994972,684.697426,311.989457,-376.892877,-54.363495,2.191228
decode_only_hot,hot,decode-only,gate,public data,gate_snapshot,193,819.607126,372.034479,-54.608194,829.246215,371.650581,-55.182119,811.755037,368.062849,-54.658384,819.607126,371.650581,-447.572646,-54.658384,2.205479
decode_only_hot,hot,decode-only,gate,private data,gate_spot_order,371,977.616789,653.80256,-33.122818,955.036486,658.784274,-31.019989,955.85627,648.623821,-32.142118,955.85627,653.80256,-307.23245,-32.142118,1.473668
decode_only_hot,hot,decode-only,gate,public data,gate_trade,218,518.431947,299.978232,-42.137395,517.061615,311.307835,-39.792894,510.408807,306.923639,-39.867096,517.061615,306.923639,-205.75378,-39.867096,1.662983
decode_only_hot,hot,decode-only,hyperliquid,public data,hyperliquid_bbo,136,1076.916855,295.237392,-72.584941,1092.645911,297.711378,-72.75317,1089.054873,298.985584,-72.546325,1089.054873,297.711378,-790.069289,-72.584941,3.64763
decode_only_hot,hot,decode-only,hyperliquid,public data,hyperliquid_l2,759,5014.250078,2020.033396,-59.714147,5045.114655,2034.591672,-59.672043,4999.400263,2011.905315,-59.757067,5014.250078,2020.033396,-2994.216682,-59.714147,2.482261
decode_only_hot,hot,decode-only,hyperliquid,private data,hyperliquid_order,232,791.905488,393.479265,-50.312345,792.500952,404.149561,-49.003271,781.888637,394.020155,-49.606614,791.905488,394.020155,-388.351391,-49.606614,1.984387
decode_only_hot,hot,decode-only,hyperliquid,private data,hyperliquid_positions,219,901.687591,408.375236,-54.709897,913.619857,412.400274,-54.860846,905.74025,411.044034,-54.61789,905.74025,411.044034,-494.696216,-54.709897,2.207988
decode_only_hot,hot,decode-only,hyperliquid,public data,hyperliquid_trade,121,519.9588,233.224716,-55.145539,522.249418,234.564401,-55.085752,516.863916,233.124907,-54.89627,519.9588,233.224716,-286.734084,-55.085752,2.226465
decode_only_hot,hot,decode-only,okx,public data,okx_bbo,176,721.539073,458.050517,-36.517573,744.743867,466.757815,-37.326397,729.664483,465.955334,-36.141152,729.664483,465.955334,-263.709148,-36.517573,1.575239
decode_only_hot,hot,decode-only,okx,in-band heartbeat,okx_heartbeat,143,480.304275,274.699179,-42.807259,486.297385,276.290539,-43.18486,476.488146,278.684812,-41.51275,480.304275,276.290539,-205.605096,-42.807259,1.748474
decode_only_hot,hot,decode-only,okx,private data,okx_order,392,1161.591306,723.345277,-37.728074,1164.680814,739.001932,-36.548973,1161.721716,735.745679,-36.667649,1161.721716,735.745679,-425.976037,-36.667649,1.578972
decode_only_hot,hot,decode-only,okx,public data,okx_snapshot,228,857.832317,535.344178,-37.593377,872.518034,543.906378,-37.662449,866.696514,552.759024,-36.222309,866.696514,543.906378,-322.48814,-37.593377,1.602394
decode_only_hot,hot,decode-only,okx,public data,okx_trade,174,555.748069,331.953847,-40.269006,565.991112,341.414281,-39.678508,558.523856,335.499807,-39.93098,558.523856,335.499807,-223.794222,-39.93098,1.664752
